Pergunta,Resposta Certa,Resposta Errada,Resposta Errada,Resposta Errada,
1.O que são dividendos?,Lucro líquido distribuído aos acionistas,Ações da empresa,Lucro bruto distribuído aos acionistas,Capital da empresa,
1.Para que serve o rácio passivo/capitais próprios?,Medir o endividamento,Conhecer as obrigações,Conhecer o património,Medir o património,
2.Qual é a demonstração financeira mais importante?,Todas as respostas,Demonstração do fluxo de caixa,Demonstração de resultados,Demonstração da posição financeira,
3.Como evitar a dupla tributação em ações americanas?,Preencher o formulário W-8BEN,Não declarar,Não vender as ações,Não comprar as ações,
3.O que é elasticidade em economia?,Tamanho do impacto que a mudança em uma variável tem sobre outra variável,Chiclete/Pastilha,Mudança percentual de uma variável dada a mudança percentual no preço, "ceteris paribus",Mede a mudança percentual na quantidade demandada de um bem específico
1.O que é educação financeira?,Todas as respostas,Finanças Pessoais,Gestão orçamental familiar,Investir,
1.Qual é a importância da educação financeira?,Tomar decisões financeiras informadas,Comprar o que quiser,Tomar um bom café todos os dias,Aposentar-se cedo,
1.O que significa FIRE em finanças?,Independência Financeira e Reforma Antecipada,Independência financeira,Aposentar-se na Páscoa,Indicação financeiro,
1.Qual é a finalidade do fundo de emergência?,Todas as respostas,Poupar,Cobrir 6 meses de despesas,Não deve ser utilizado para despesas do dia-a-dia,
1.Quais instrumentos financeiros são possíveis de investir?,Todas as respostas,Ações,ETFs,Obrigações,
2.O que é o S&P500?,Representa as 500 maiores empresas cotadas na bolsa dos EUA,As 500 maiores empresas da Europa,Empresas small cap dos EUA,Representa as maiores empresas privadas do mundo,
2.Qual é o setor com maior peso no S&P500?,Tecnologia,Saúde,Utilidades,Industriais,
2.O que é uma opção de ação?,É um contrato entre duas partes,É um CFD,É uma ação no S&P500,É uma mistura entre ações e ETFs,
2.Qual é o melhor corretora?,Depende dos objetivos do investidor,XTB,Freedom24,InteractiveBrokers,
2.Qual é o investimento mais arriscado entre:,P2P,Títulos,ETFs,Ações,
1.ETFs de obrigações é o mesmo que obrigações do tesouro?,Não,Sim,Depende,Sim se investir a mesma quantia,
1.O que é um índice de ações?,Uma medida que representa o desempenho do mercado de ações,Um título de dívida emitido por uma empresa,Uma taxa de juros fixa,Um contrato de seguro,
1.Como funciona uma ordem de mercado na bolsa de valores?,Compra ou venda de ações ao preço atual de mercado,Compra de ações a um preço fixo,Venda de ações a um preço fixo,Reserva de ações para compra futura,
1.O que é um dividendo?,Uma parte dos lucros de uma empresa distribuída aos acionistas,Um empréstimo de ações a outro investidor,Um título de dívida emitido por uma empresa,Um contrato de opção,
1.Qual é o conceito de volatilidade no mercado de ações?,Grau de variação dos preços das ações,Valor fixo de uma ação,Quantidade de ações em circulação,Tempo médio de posse de uma ação,
1.Como se chama alguém que investe em ações?,Investidor acionista,Investidor de títulos,Investidor imobiliário,Investidor de commodities,
1.O que é o P/L (Preço/Lucro) de uma ação?,Rácio que compara o preço de uma ação com o lucro por ação,Valor total de uma ação,Variação percentual do valor da ação ao longo do ano,Taxa de juros fixa de uma ação,
1.Como se chama o local onde as ações são compradas e vendidas?,Bolsa de Valores,Supermercado,Leilão de arte,Feira de rua,
1.O que é um "bear market" no contexto de ações?,Um mercado com tendência de queda,Um mercado com tendência de alta,Uma estratégia de investimento,Um índice de volatilidade,
1.O que é um "bull market" no contexto de ações?,Um mercado com tendência de alta,Um mercado com tendência de queda,Uma estratégia de investimento,Um índice de risco,
1.O que significa "short selling" em ações?,Venda de ações emprestadas com a intenção de recomprá-las a um preço mais baixo,Compra de ações para longo prazo,Venda de ações com objetivo de lucro rápido,Resgate de ações de um fundo mútuo,
1.Como são chamados os investidores que procuram lucrar com pequenas variações de preço das ações?,Day traders,Long-term investors,Value investors,Income investors,
1.O que é um relatório anual de uma empresa de ações?,Um documento que divulga informações financeiras e operacionais de uma empresa ao longo do ano,Um guia de investimento,Um contrato de opção,Um prospecto de IPO,
1.Como é calculado o valor de mercado de uma empresa?,Multiplicando o número de ações pelo preço atual de mercado,Dividindo o lucro líquido pelo número de acionistas,Somando o valor dos ativos e passivos,Subtraindo o dividendo anual,
1.Qual é a diferença entre uma ação comum e uma ação preferencial?,Ação preferencial tem prioridade no recebimento de dividendos e no reembolso,Ação comum oferece mais direitos de voto,Ação preferencial não tem direitos de voto,Ação comum não recebe dividendos,
1.O que é um circuit breaker na bolsa de valores?,Mecanismo que interrompe temporariamente as negociações em caso de movimentos extremos de preço,Um tipo de ordem de mercado,Um índice de risco de investimento,Um dispositivo de segurança para prevenir fraudes,
1.Como funciona o conceito de alavancagem em investimentos?,Utilização de capital emprestado para ampliar o potencial de retorno,Manter todos os investimentos em dinheiro,Evitar qualquer tipo de empréstimo em investimentos,Diversificar amplamente os investimentos,
1.Qual é o papel de um gestor de fundo de investimento?,Tomar decisões de investimento em nome dos investidores do fundo,Definir a política monetária do país,Executar ordens de compra e venda na bolsa de valores,Analisar relatórios anuais de empresas,
1.O que é um "day trader"?,Investidor que compra e vende ativos no mesmo dia,Investidor de longo prazo,Investidor que prefere ações preferenciais,Investidor que foca apenas em dividendos,
1.Qual é a importância da diversificação na carteira de investimentos?,Reduzir o risco ao distribuir os investimentos por diferentes ativos,Concentrar todos os investimentos numa única ação,Aumentar o risco ao investir em setores semelhantes,Diversificar apenas entre diferentes tipos de ações,
1.O que é um contrato de futuros?,Acordo para comprar ou vender um ativo a um preço predeterminado numa data futura,Contrato de locação de propriedade,Documento que comprova a propriedade de um veículo,Contrato de trabalho entre empregador e empregado,
1.Qual é o impacto de uma decisão de política monetária na bolsa de valores?,Pode influenciar as taxas de juros e afetar os preços das ações,Não tem impacto na bolsa de valores,Aumenta automaticamente o valor de todas as ações,Diminui a volatilidade do mercado,
1.O que é um "stop-loss" em investimentos?,Ordem para vender um ativo automaticamente se o preço atingir um determinado nível,Ordem para comprar ações no ponto mais alto do dia,Limitação do número de ações que um investidor pode possuir,Um tipo de opção de compra,
1.Como é calculado o retorno sobre o investimento (ROI)?,Dividindo o ganho do investimento pelo custo do investimento e multiplicando por 100,Subtraindo o custo do investimento do ganho e dividindo por 100,Somando o ganho do investimento ao custo do investimento e multiplicando por 100,Dividindo o ganho do investimento pelo custo do investimento,
1.Qual é a diferença entre um mercado primário e um mercado secundário?,Mercado primário é onde novas ações são emitidas enquanto o mercado secundário é onde as ações existentes são negociadas,Mercado secundário é onde novas ações são emitidas,Ambos são termos que se referem ao mesmo tipo de mercado,Não há diferença entre eles,
1.O que é um IPO?,Oferta Pública Inicial,Oferta Privada Internacional,Oferta de Produtos Importados,Oferta Pública Internacional,
1.Qual é a diferença entre um trader e um investidor?,Um trader busca lucros de curto prazo enquanto um investidor busca ganhos de longo prazo,Um trader busca ganhos de longo prazo enquanto um investidor busca lucros de curto prazo,Ambos os termos são sinônimos,Não há diferença entre eles,
1.O que é um split de ações?,Quando uma empresa divide suas ações existentes em múltiplas novas ações,Quando uma empresa combina suas ações existentes numa única ação,A emissão de novas ações no mercado primário,A aquisição de ações de outras empresas,
1.Qual é a função de um analista financeiro?,Analisar dados financeiros e fazer recomendações de investimento,Processar transações bancárias,Desenvolver estratégias de marketing para empresas financeiras,Conduzir auditorias internas em empresas,
1.Como é determinado o preço de uma ação no mercado secundário?,Pela oferta e demanda dos investidores no mercado,Pelo valor nominal da ação,Pelo lucro líquido da empresa,Pela média dos preços de fechamento dos últimos anos,
1.O que é o preço de mercado de uma ação?,O preço atual pelo qual uma ação pode ser comprada ou vendida no mercado,Um valor fixo estabelecido pela empresa emissora,Um preço que nunca muda,Uma taxa aplicada pelo governo sobre as transações de ações,
1.Como as notícias financeiras e eventos globais afetam o mercado de ações?,Podem influenciar os preços das ações causando flutuações no mercado,Pouco impacto pois o mercado de ações é totalmente independente de eventos externos,Não têm impacto nas decisões dos investidores,Apenas afetam as ações de empresas específicas,
1.Como funciona o índice S&P 500?,É um índice ponderado pelo valor de mercado que acompanha o desempenho de 500 grandes empresas americanas,Listagem de empresas que não estão na bolsa de valores,Índice que mede a volatilidade do mercado de câmbio,Índice que representa apenas empresas do setor de tecnologia,
1.Qual é o papel de um market maker?,Facilitar a liquidez do mercado comprando e vendendo ativos,Estabelecer a taxa de juros de mercado,Determinar a política monetária do país,Avaliar a saúde financeira das empresas,
1.O que é análise fundamentalista?,Uma abordagem de análise que avalia o valor intrínseco de uma empresa com base em seus fundamentos financeiros,Uma estratégia de investimento de curto prazo focada em flutuações de preços,Um método que ignora completamente os dados financeiros ao tomar decisões de investimento,Um tipo de seguro para investimentos,
1.O que é um IPO de tecnologia?,Oferta Pública Inicial de ações de uma empresa de tecnologia,Um índice de preços de commodities específicas para o setor de tecnologia,Um empréstimo para empresas de tecnologia,Um tipo de título de renda fixa emitido por empresas de tecnologia,
1.Como os juros afetam os preços das obrigações?,Os preços das obrigações caem quando as taxas de juros aumentam e vice-versa,Os preços das obrigações são sempre os mesmos independentemente das taxas de juros,Os preços das obrigações aumentam quando as taxas de juros aumentam e vice-versa,As taxas de juros não têm impacto nos preços das obrigações,
1.Como os investidores avaliam o potencial de crescimento de uma empresa ao comprar ações?,Analisando indicadores como receitas lucros e perspectivas futuras,Confiança no CEO da empresa independentemente dos indicadores financeiros,Analisando apenas o histórico de preços das ações,Ignorando completamente os dados financeiros,
1.O que é um ETF setorial?,Um Exchange Traded Fund que se concentra em ações de um setor específico da economia,Um título de dívida emitido por uma empresa num setor específico,Um índice que mede a volatilidade de um setor específico,Um contrato de opção relacionado a um setor específico,
1.Quais são os fatores que influenciam a volatilidade do mercado de ações?,Notícias econômicas e eventos globais política e desempenho das empresas,Volatilidade é totalmente aleatória e não é influenciada por nenhum fator externo,Apenas o desempenho das empresas influencia a volatilidade,Nenhum fator externo tem impacto na volatilidade,
1.Como a política monetária de um país pode afetar o mercado de ações?,Alterações nas taxas de juros podem influenciar os custos de empréstimos e os gastos das empresas impactando as ações,Política monetária não tem impacto no mercado de ações apenas na economia real,Política monetária afeta apenas o mercado de títulos sem impacto nas ações,Política monetária influencia apenas o mercado de câmbio,
1.Como as taxas de câmbio podem afetar os investimentos internacionais?,Flutuações nas taxas de câmbio podem impactar o valor dos investimentos em moeda estrangeira,Podem afetar apenas as exportações e importações sem impacto nos investimentos internacionais,As taxas de câmbio não têm impacto nos investimentos internacionais,Flutuações nas taxas de câmbio afetam apenas os investimentos em ações e não em outros ativos,
1.Qual é o objetivo do rebalanceamento de uma carteira de investimentos?,Manter a alocação de ativos de acordo com os objetivos de investimento e o perfil de risco do investidor,Maximizar os retornos de curto prazo independentemente da alocação de ativos,Manter a alocação de ativos fixa sem ajustes ao longo do tempo,Minimizar a diversificação concentrando os investimentos em poucos ativos,
1.Como a inflação pode afetar os investimentos?,A inflação pode erodir o poder de compra dos investimentos reduzindo seu valor real,A inflação não tem impacto nos investimentos apenas na economia real,A inflação sempre beneficia os investidores aumentando o valor dos ativos,A inflação afeta apenas investimentos em ações não em outros ativos,
1.Quais são os riscos associados às penny stocks (ações de baixo valor)?,Alto risco devido à baixa capitalização de mercado e menor liquidez,Podem ser consideradas investimentos seguros devido ao seu baixo preço,Penny stocks não têm riscos são sempre investimentos rentáveis,Riscos limitados devido ao seu preço acessível,
1.Qual é o papel de um conselheiro de investimentos?,Aconselhar os clientes sobre estratégias de investimento e gerenciar suas carteiras,Aconselhar apenas sobre a compra e venda de ações sem considerar estratégias de investimento,Estabelecer políticas monetárias para o país,Conduzir auditorias internas em empresas de investimento,
1.O que é um "short squeeze" no mercado de ações?,Um aumento repentino no preço de uma ação devido a compras em grande escala,Um evento onde investidores perdem dinheiro devido a uma queda no mercado,Um aumento nas taxas de juros que impacta negativamente as ações,A pressão sobre investidores que apostaram contra uma ação forçando-os a comprar para cobrir suas posições,
1.Como as notícias corporativas podem impactar as ações de uma empresa?,Notícias positivas podem impulsionar os preços das ações enquanto notícias negativas podem levá-las a cair,Notícias corporativas não têm impacto nas ações apenas nas obrigações,Notícias positivas ou negativas afetam apenas a volatilidade do mercado sem impactar os preços das ações,Notícias corporativas só afetam as ações de empresas de grande porte,
